,DataFile,metric,method,wX,wY,ID,|W|,logWX,logWY,logMeanTime,logMeanTimeReinit,logMinTime,logMaxTime,minTime,maxTime,mean_reinit,mean_sequential,sd,Method,sparsity,batch_size,num_batches,val_2,logW,ID_full,vlookup_cated,base,acceleration
12,../results/GeneratedSparseBatchSizeFixed/1000_cells_10000_features/0.5/100_GPU_kendall.csv,kendall,GPU,1000,10000,1000_10000,10000000,3.0,4.0,8.399791977306078,8.39922242467834,8.39922242467834,8.40036078397596,250739309.0,251397401.25,250739309.0,251068355.125,329046.125,kendall_GPU,0.5,100,10.0,251397401.25,7.0,1000_10000_0.5_100,1000_10000_0.5_500,310476491.75,1.2366213639127175
13,../results/GeneratedSparseBatchSizeFixed/1000_cells_10000_features/0.5/1000_GPU_kendall.csv,kendall,GPU,1000,10000,1000_10000,10000000,3.0,4.0,9.0013966793109,9.000506782203258,9.000506782203258,9.002284756690685,1001167590.25,1005274709.25,1001167590.25,1003221149.75,2053559.5,kendall_GPU,0.5,1000,1.0,1005274709.25,7.0,1000_10000_0.5_1000,1000_10000_0.5_500,310476491.75,0.30947961157654014
14,../results/GeneratedSparseBatchSizeFixed/1000_cells_10000_features/0.5/500_GPU_kendall.csv,kendall,GPU,1000,10000,1000_10000,10000000,3.0,4.0,8.492028722419976,8.482527737531967,8.482527737531967,8.50132629792612,303758009.0,317194974.5,303758009.0,310476491.75,6718482.75,kendall_GPU,0.5,500,2.0,317194974.5,7.0,1000_10000_0.5_500,1000_10000_0.5_500,310476491.75,1.0
15,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.9/5000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.313360845709881,6.363055595104305,6.257236016927497,6.363055595104305,1808156.5,2307042.5,2307042.5,2057599.5,249443.0,kendall_GPU,0.9,5000,2.0,1808156.5,5.0,10000_10_0.9_5000,10000_10_0.9_500,1788238.25,0.8690895628619661
16,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.9/10000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.370468422695568,6.397766343020095,6.34133890001572,6.397766343020095,2194516.75,2499000.5,2499000.5,2346758.625,152241.875,kendall_GPU,0.9,10000,1.0,2194516.75,5.0,10000_10_0.9_10000,10000_10_0.9_500,1788238.25,0.7620034847000935
17,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.9/100_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.9851781153102985,6.998060884607644,6.971901482563959,6.998060884607644,9373493.5,9955449.75,9955449.75,9664471.625,290978.125,kendall_GPU,0.9,100,100.0,9373493.5,5.0,10000_10_0.9_100,10000_10_0.9_500,1788238.25,0.1850321796562779
18,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.9/1000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.263792481101081,6.296371448653904,6.2285699237517695,6.296371448653904,1692660.75,1978661.25,1978661.25,1835661.0,143000.25,kendall_GPU,0.9,1000,10.0,1692660.75,5.0,10000_10_0.9_1000,10000_10_0.9_500,1788238.25,0.9741658454366029
19,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.9/500_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.2524253801015215,6.265828210662204,6.238595715112601,6.265828210662204,1732190.75,1844285.75,1844285.75,1788238.25,56047.5,kendall_GPU,0.9,500,20.0,1732190.75,5.0,10000_10_0.9_500,10000_10_0.9_500,1788238.25,1.0
20,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.95/5000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.174293509002552,6.238179508947495,6.099361448581576,6.238179508947495,1257075.75,1730531.5,1730531.5,1493803.625,236727.875,kendall_GPU,0.95,5000,2.0,1257075.75,5.0,10000_10_0.95_5000,10000_10_0.95_500,1191834.875,0.797852445297152
21,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.95/10000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.247027093856588,6.2843399173217,6.206204606562038,6.2843399173217,1607698.5,1924597.5,1924597.5,1766148.0,158449.5,kendall_GPU,0.95,10000,1.0,1607698.5,5.0,10000_10_0.95_10000,10000_10_0.95_500,1191834.875,0.6748216315959931
22,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.95/100_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.938950041347846,6.945352339176044,6.932451947934413,6.945352339176044,8559570.0,8817639.5,8817639.5,8688604.75,129034.75,kendall_GPU,0.95,100,100.0,8559570.0,5.0,10000_10_0.95_100,10000_10_0.95_500,1191834.875,0.13717218233456874
23,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.95/1000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.109508563163269,6.148039140829245,6.0672237811591625,6.148039140829245,1167411.0,1406174.25,1406174.25,1286792.625,119381.625,kendall_GPU,0.95,1000,10.0,1167411.0,5.0,10000_10_0.95_1000,10000_10_0.95_500,1191834.875,0.9262058639790541
24,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.95/500_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.076216089427798,6.08291043629599,6.06941693624255,6.08291043629599,1173321.25,1210348.5,1210348.5,1191834.875,18513.625,kendall_GPU,0.95,500,20.0,1173321.25,5.0,10000_10_0.95_500,10000_10_0.95_500,1191834.875,1.0
25,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.75/5000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.718822723892851,6.738727556265801,6.697961597032008,6.738727556265801,4988403.75,5479331.25,5479331.25,5233867.5,245463.75,kendall_GPU,0.75,5000,2.0,4988403.75,5.0,10000_10_0.75_5000,10000_10_0.75_500,4663427.875,0.8910099223948639
