,metric,dataset,mean,log_mean,method,missing,batch_size,cated,vlookup_cated,base,acceleration
32,kendall,HLCA_lung,1010278499.5,9.004441110538599,GADES-GPU-sparse,False,1000,sparse_GPUHLCA_lung1000,sparse_GPUHLCA_lung500,903288520.375,0.8940985290907896
33,kendall,HLCA_lung,1443564617.625,9.159436228777789,GADES-GPU-sparse,False,2000,sparse_GPUHLCA_lung2000,sparse_GPUHLCA_lung500,903288520.375,0.6257347328594961
34,kendall,HLCA_lung,1443564617.625,9.159436228777789,GADES-GPU-sparse,True,4000,sparse_GPUHLCA_lung4000,sparse_GPUHLCA_lung500,903288520.375,0.6257347328594961
35,kendall,HLCA_marrow,9400350251.5,9.973144035457134,GADES-GPU-sparse,False,250,sparse_GPUHLCA_marrow250,sparse_GPUHLCA_marrow500,8498180521.75,0.9040280728256862
36,kendall,HLCA_marrow,8498180521.75,9.92932595230859,GADES-GPU-sparse,False,500,sparse_GPUHLCA_marrow500,sparse_GPUHLCA_marrow500,8498180521.75,1.0
37,kendall,HLCA_marrow,8498180521.75,9.92932595230859,GADES-GPU-sparse,True,1000,sparse_GPUHLCA_marrow1000,sparse_GPUHLCA_marrow500,8498180521.75,1.0
38,kendall,HLCA_marrow,8498180521.75,9.92932595230859,GADES-GPU-sparse,True,2000,sparse_GPUHLCA_marrow2000,sparse_GPUHLCA_marrow500,8498180521.75,1.0
39,kendall,HLCA_marrow,8498180521.75,9.92932595230859,GADES-GPU-sparse,True,4000,sparse_GPUHLCA_marrow4000,sparse_GPUHLCA_marrow500,8498180521.75,1.0
40,kendall,HSC,16864489638.0,10.22697320287748,GADES-GPU-sparse,False,250,sparse_GPUHSC250,sparse_GPUHSC500,16773214601.125,0.9945877379728507
41,kendall,HSC,16773214601.125,10.224616303497037,GADES-GPU-sparse,False,500,sparse_GPUHSC500,sparse_GPUHSC500,16773214601.125,1.0
42,kendall,HSC,17469109566.5,10.242270768737306,GADES-GPU-sparse,False,1000,sparse_GPUHSC1000,sparse_GPUHSC500,16773214601.125,0.9601642566425082
43,kendall,HSC,19960288204.75,10.300166807734366,GADES-GPU-sparse,False,2000,sparse_GPUHSC2000,sparse_GPUHSC500,16773214601.125,0.8403292792702981
44,kendall,HSC,20359526377.25,10.308767670809155,GADES-GPU-sparse,False,4000,sparse_GPUHSC4000,sparse_GPUHSC500,16773214601.125,0.8238509231662485
