,DataFile,metric,method,wX,wY,ID,|W|,logWX,logWY,logMeanTime,logMeanTimeReinit,logMinTime,logMaxTime,minTime,maxTime,mean_reinit,mean_sequential,sd,Method,batch_size,num_batches,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,ID_full,vlookup_cated,base,acceleration
53,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_100_features/1000/_GPU_kendall.csv,kendall,GPU,10000,100,10000_100,1000000,4.0,2.0,7.128757252516039,7.138248684366514,7.125782735455839,7.138248684366514,13359270.25,13748290.0,13748290.0,13451083.0,105186.40320075832,kendall_GPU,1000,10.0,13748290.0,13359270.25,13458713.75,13376263.25,13450432.75,13371173.75,13437019.0,13462420.5,13424980.0,13422266.75,10000_100_1000,10000_100_500,13423577.4,0.9979551386308448
55,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_100_features/5000/_GPU_kendall.csv,kendall,GPU,10000,100,10000_100,1000000,4.0,2.0,7.146209345054902,7.153727516655123,7.13946695630443,7.153727516655123,13786910.5,14247134.25,14247134.25,14002621.35,145340.43507121477,kendall_GPU,5000,2.0,14247134.25,13985109.75,13852359.25,13992677.25,14192682.75,14165609.5,13982362.75,13786910.5,13941768.5,13879599.0,10000_100_5000,10000_100_500,13423577.4,0.9586474606770682
56,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_100_features/100/_GPU_kendall.csv,kendall,GPU,10000,100,10000_100,1000000,4.0,2.0,7.376435447066297,7.378393289951911,7.369721131328997,7.386087725002287,23427240.25,24326953.5,23899746.25,23792246.3,271668.9810753107,kendall_GPU,100,100.0,23899746.25,23936009.0,23467497.75,24326953.5,23427240.25,23623667.25,24106341.0,23859051.25,23670220.5,23605736.25,10000_100_100,10000_100_500,13423577.4,0.5641996653338277
61,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/100_cells_100000_features/100/_GPU_kendall.csv,kendall,GPU,100,100000,100_100000,10000000,2.0,5.0,8.073413666726902,7.978697232212146,7.978697232212146,8.107187818367922,95213215.5,127993471.5,95213215.5,118416894.3,9581597.070375536,kendall_GPU,100,1.0,95213215.5,109047731.25,115035245.5,118034660.75,119249621.5,121365002.75,125895746.0,127419220.5,127993471.5,124915027.75,100_100000_100,100_100000_500,118416894.3,1.0
67,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/100_cells_10000_features/100/_GPU_kendall.csv,kendall,GPU,100,10000,100_10000,1000000,2.0,4.0,5.899340229433918,5.934677939367405,5.884915811587833,5.934677939367405,767212.75,860355.5,860355.5,793122.425,24607.825249564925,kendall_GPU,100,1.0,860355.5,796519.75,767212.75,768851.75,785463.0,786674.75,786383.25,786450.75,801560.5,791752.25,100_10000_100,100_10000_500,793122.425,1.0
76,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_100_features/500/_GPU_kendall.csv,kendall,GPU,1000,100,1000_100,100000,3.0,2.0,5.120713656136681,5.127103177859986,5.114106182208852,5.133749617803722,130048.75,136066.0,133999.5,132042.475,2199.2776270005115,kendall_GPU,500,2.0,133999.5,136066.0,135446.0,132498.5,130285.5,130289.5,130048.75,130326.0,130583.5,130881.5,1000_100_500,1000_100_500,132042.475,1.0
77,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_100_features/1000/_GPU_kendall.csv,kendall,GPU,1000,100,1000_100,100000,3.0,2.0,5.126325123706876,5.141719359930591,5.08865427386972,5.151949493114044,122646.25,141889.25,138586.0,133759.65,5802.755192794196,kendall_GPU,1000,1.0,138586.0,122646.25,130725.0,129596.25,129557.5,141889.25,141350.0,137506.5,134657.5,131082.25,1000_100_1000,1000_100_500,132042.475,0.9871622346499861
80,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/1000_cells_100_features/100/_GPU_kendall.csv,kendall,GPU,1000,100,1000_100,100000,3.0,2.0,5.266947598101195,5.282347335277231,5.254603055262007,5.282347335277231,179722.75,191578.75,191578.75,184904.55,2912.9437876485017,kendall_GPU,100,10.0,191578.75,179722.75,183559.5,183944.25,184653.5,186260.75,187385.75,184105.0,183718.75,184116.5,1000_100_100,1000_100_500,132042.475,0.7141115510678349
81,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_1000_features/10000/_GPU_kendall.csv,kendall,GPU,10000,1000,10000_1000,10000000,4.0,3.0,8.303081586617875,8.21883808584082,8.21883808584082,8.324982658641035,165515277.25,211340465.0,165515277.25,200947027.65,12856888.70618032,kendall_GPU,10000,1.0,165515277.25,196915177.25,197607519.75,207597550.25,201070428.75,207503940.25,209520931.75,211340465.0,201391746.0,211007240.25,10000_1000_10000,10000_1000_500,163993554.275,0.8161034089075266
82,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_1000_features/500/_GPU_kendall.csv,kendall,GPU,10000,1000,10000_1000,10000000,4.0,3.0,8.214826778548842,8.214750093875942,8.205172760699678,8.223236276999181,160388328.25,167200001.5,163964600.0,163993554.275,1896346.68025026,kendall_GPU,500,20.0,163964600.0,160388328.25,162393260.0,161740703.75,165118983.75,165232255.75,163822032.0,164906528.0,167200001.5,165168849.75,10000_1000_500,10000_1000_500,163993554.275,1.0
83,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_1000_features/1000/_GPU_kendall.csv,kendall,GPU,10000,1000,10000_1000,10000000,4.0,3.0,8.205238448500003,8.195457972389782,8.193962572117638,8.220289257003197,156301293.5,166069262.5,156840411.25,160412589.1,2822778.0764535256,kendall_GPU,1000,10.0,156840411.25,162249977.5,159341615.0,161291700.25,162552993.75,159456315.5,156301293.5,161869345.75,158152976.0,166069262.5,10000_1000_1000,10000_1000_500,163993554.275,1.0223234672234338
85,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_1000_features/5000/_GPU_kendall.csv,kendall,GPU,10000,1000,10000_1000,10000000,4.0,3.0,8.267531237660402,8.275816436656113,8.254453929890467,8.275816436656113,179661048.5,188719352.0,188719352.0,185153206.525,2983636.5380508974,kendall_GPU,5000,2.0,188719352.0,186241712.5,184566345.0,179661048.5,188502535.5,180569439.5,183041706.25,186275476.0,186908336.75,187046113.25,10000_1000_5000,10000_1000_500,163993554.275,0.8857181431144
86,../../Hobotnica-GPU/results/GeneratedDenseBatch_size/10000_cells_1000_features/100/_GPU_kendall.csv,kendall,GPU,10000,1000,10000_1000,10000000,4.0,3.0,8.268774610871159,8.263689019702658,8.261791309025325,8.274024722800775,182722197.25,187942380.25,183522374.5,185684054.625,1668116.9084898515,kendall_GPU,100,100.0,183522374.5,182722197.25,184168920.0,186446009.25,187781828.0,186194632.75,185175389.75,186036515.5,186850299.0,187942380.25,10000_1000_100,10000_1000_500,163993554.275,0.8831859828039341
