DataFile,method,metric,acceleration
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,933.8666166
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,1.566858603
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,65.08799696
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,0.149457447
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,6.151155025
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,712.550881
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,1.231242201
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,9.777603278
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,98.08170993
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.148022363
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,16.48643529
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,2733.142776
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.148022363
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,16.48643529
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,2733.142776
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,pearson,2.591679641
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,pearson,158.1630702
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,euclidean,0.065765833
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,euclidean,2.483835354
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,euclidean,458.4468513
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,euclidean,2.525983313
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,euclidean,23.96115455
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,euclidean,338.0143882
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,0.041910777
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,3.593881625
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,596.0120554
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,0.041910777
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,3.593881625
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,euclidean,596.0120554
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,0.638219682
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,euclidean,41.54044075
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,0.05766818
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,2.373424141
../../DistanceBenchmarking/Real/HSC/matrix.mtx,amap,pearson,274.9378703
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,0.475074998
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,3.772689774
../../DistanceBenchmarking/Real/HSC/matrix.mtx,factoextra,pearson,37.84484331
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.057114452
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,6.361293668
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,1054.583573
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,0.057114452
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,6.361293668
../../DistanceBenchmarking/Real/HSC/matrix.mtx,CPU,pearson,1054.583573
../../DistanceBenchmarking/Real/HSC/matrix.mtx,GPU,pearson,0.385850158
